country,date,confirmed_cases,deaths,recovered,mortality_rate,recovery_rate,month
Argentina,2020-01-22,0,0,0,0.0,0.0,1
Argentina,2020-01-23,0,0,0,0.0,0.0,1
Argentina,2020-01-24,0,0,0,0.0,0.0,1
Argentina,2020-01-25,0,0,0,0.0,0.0,1
Argentina,2020-01-26,0,0,0,0.0,0.0,1
Argentina,2020-01-27,0,0,0,0.0,0.0,1
Argentina,2020-01-28,0,0,0,0.0,0.0,1
Argentina,2020-01-29,0,0,0,0.0,0.0,1
Argentina,2020-01-30,0,0,0,0.0,0.0,1
Argentina,2020-01-31,0,0,0,0.0,0.0,1
Argentina,2020-02-01,0,0,0,0.0,0.0,2
Argentina,2020-02-02,0,0,0,0.0,0.0,2
Argentina,2020-02-03,0,0,0,0.0,0.0,2
Argentina,2020-02-04,0,0,0,0.0,0.0,2
Argentina,2020-02-05,0,0,0,0.0,0.0,2
Argentina,2020-02-06,0,0,0,0.0,0.0,2
Argentina,2020-02-07,0,0,0,0.0,0.0,2
Argentina,2020-02-08,0,0,0,0.0,0.0,2
Argentina,2020-02-09,0,0,0,0.0,0.0,2
Argentina,2020-02-10,0,0,0,0.0,0.0,2
Argentina,2020-02-11,0,0,0,0.0,0.0,2
Argentina,2020-02-12,0,0,0,0.0,0.0,2
Argentina,2020-02-13,0,0,0,0.0,0.0,2
Argentina,2020-02-14,0,0,0,0.0,0.0,2
Argentina,2020-02-15,0,0,0,0.0,0.0,2
Argentina,2020-02-16,0,0,0,0.0,0.0,2
Argentina,2020-02-17,0,0,0,0.0,0.0,2
Argentina,2020-02-18,0,0,0,0.0,0.0,2
Argentina,2020-02-19,0,0,0,0.0,0.0,2
Argentina,2020-02-20,0,0,0,0.0,0.0,2
Argentina,2020-02-21,0,0,0,0.0,0.0,2
Argentina,2020-02-22,0,0,0,0.0,0.0,2
Argentina,2020-02-23,0,0,0,0.0,0.0,2
Argentina,2020-02-24,0,0,0,0.0,0.0,2
Argentina,2020-02-25,0,0,0,0.0,0.0,2
Argentina,2020-02-26,0,0,0,0.0,0.0,2
Argentina,2020-02-27,0,0,0,0.0,0.0,2
Argentina,2020-02-28,0,0,0,0.0,0.0,2
Argentina,2020-02-29,0,0,0,0.0,0.0,2
Argentina,2020-03-01,0,0,0,0.0,0.0,3
Argentina,2020-03-02,0,0,0,0.0,0.0,3
Argentina,2020-03-03,1,0,0,0.0,0.0,3
Argentina,2020-03-04,1,0,0,0.0,0.0,3
Argentina,2020-03-05,1,0,0,0.0,0.0,3
Argentina,2020-03-06,2,0,0,0.0,0.0,3
Argentina,2020-03-07,8,0,0,0.0,0.0,3
Argentina,2020-03-08,12,1,0,8.333333333333332,0.0,3
Argentina,2020-03-09,12,1,0,8.333333333333332,0.0,3
Argentina,2020-03-10,17,1,0,5.88235294117647,0.0,3
Argentina,2020-03-11,19,1,0,5.263157894736842,0.0,3
Argentina,2020-03-12,19,1,0,5.263157894736842,0.0,3
Argentina,2020-03-13,31,2,0,6.451612903225806,0.0,3
Argentina,2020-03-14,34,2,1,5.88235294117647,2.941176470588235,3
Argentina,2020-03-15,45,2,1,4.444444444444445,2.2222222222222223,3
Argentina,2020-03-16,56,2,1,3.571428571428571,1.7857142857142856,3
Argentina,2020-03-17,68,2,3,2.941176470588235,4.411764705882353,3
Argentina,2020-03-18,79,2,3,2.5316455696202533,3.79746835443038,3
Argentina,2020-03-19,97,3,3,3.0927835051546393,3.0927835051546393,3
Argentina,2020-03-20,128,3,3,2.34375,2.34375,3
Argentina,2020-03-21,158,4,3,2.5316455696202533,1.89873417721519,3
Argentina,2020-03-22,266,4,3,1.5037593984962405,1.1278195488721803,3
Argentina,2020-03-23,301,4,3,1.3289036544850499,0.9966777408637874,3
Argentina,2020-03-24,387,6,52,1.550387596899225,13.436692506459949,3
Argentina,2020-03-25,387,8,52,2.0671834625323,13.436692506459949,3
Argentina,2020-03-26,502,9,63,1.7928286852589643,12.549800796812749,3
Argentina,2020-03-27,589,13,72,2.2071307300509337,12.224108658743633,3
Argentina,2020-03-28,690,18,72,2.608695652173913,10.434782608695652,3
Argentina,2020-03-29,745,19,72,2.5503355704697985,9.664429530201343,3
Argentina,2020-03-30,820,23,228,2.804878048780488,27.80487804878049,3
Argentina,2020-03-31,1054,27,240,2.5616698292220113,22.770398481973434,3
Argentina,2020-04-01,1054,28,248,2.6565464895635675,23.52941176470588,4
Argentina,2020-04-02,1133,36,256,3.1774051191526915,22.594880847308033,4
Argentina,2020-04-03,1265,39,266,3.08300395256917,21.027667984189723,4
Argentina,2020-04-04,1451,43,279,2.963473466574776,19.228118538938663,4
Argentina,2020-04-05,1451,44,280,3.0323914541695385,19.297036526533425,4
Argentina,2020-04-06,1554,48,325,3.088803088803089,20.91377091377091,4
Argentina,2020-04-07,1628,56,338,3.43980343980344,20.76167076167076,4
Argentina,2020-04-08,1715,63,358,3.6734693877551026,20.87463556851312,4
Argentina,2020-04-09,1795,72,365,4.011142061281337,20.334261838440113,4
Argentina,2020-04-10,1975,82,375,4.151898734177215,18.9873417721519,4
Argentina,2020-04-11,1975,83,440,4.2025316455696204,22.278481012658226,4
Argentina,2020-04-12,2142,90,468,4.201680672268908,21.84873949579832,4
Argentina,2020-04-13,2208,97,515,4.393115942028985,23.32427536231884,4
Argentina,2020-04-14,2277,102,559,4.479578392621871,24.549846288976724,4
Argentina,2020-04-15,2443,111,596,4.543593941874744,24.396234138354483,4
Argentina,2020-04-16,2571,115,631,4.472967716841696,24.54297938545313,4
Argentina,2020-04-17,2669,123,666,4.608467590857999,24.953165979767704,4
Argentina,2020-04-18,2758,129,685,4.677302393038434,24.83683828861494,4
Argentina,2020-04-19,2839,132,709,4.6495244804508635,24.973582247270166,4
Argentina,2020-04-20,2941,136,737,4.624277456647398,25.059503570214215,4
Argentina,2020-04-21,3031,147,840,4.849884526558892,27.713625866050805,4
Argentina,2020-04-22,3144,152,872,4.8346055979643765,27.735368956743002,4
Argentina,2020-04-23,3435,165,919,4.8034934497816595,26.754002911208154,4
Argentina,2020-04-24,3607,176,976,4.879401164402551,27.058497366232327,4
Argentina,2020-04-25,3780,185,1030,4.894179894179894,27.24867724867725,4
